households_served,total,population,start_date,end_date,question,household_type,count
For PSH and RRH - the total persons served who moved into housing,95,all_households,2021-01-01,2021-01-31,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,95,all_households,2021-01-01,2021-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,95,all_households,2021-01-01,2021-01-31,Q8a,unknown_household_type,0
Total Households,775,all_households,2021-02-01,2021-02-28,Q8a,without_children,677
Total Households,775,all_households,2021-02-01,2021-02-28,Q8a,with_children_and_adults,95
Total Households,775,all_households,2021-02-01,2021-02-28,Q8a,with_only_children,0
Total Households,775,all_households,2021-02-01,2021-02-28,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-02-01,2021-02-28,Q8a,without_children,82
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-02-01,2021-02-28,Q8a,with_children_and_adults,11
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-02-01,2021-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-02-01,2021-02-28,Q8a,unknown_household_type,0
Total Households,777,all_households,2021-03-01,2021-03-31,Q8a,without_children,680
Total Households,777,all_households,2021-03-01,2021-03-31,Q8a,with_children_and_adults,94
Total Households,777,all_households,2021-03-01,2021-03-31,Q8a,with_only_children,0
Total Households,777,all_households,2021-03-01,2021-03-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,98,all_households,2021-03-01,2021-03-31,Q8a,without_children,86
For PSH and RRH - the total persons served who moved into housing,98,all_households,2021-03-01,2021-03-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,98,all_households,2021-03-01,2021-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,98,all_households,2021-03-01,2021-03-31,Q8a,unknown_household_type,0
Total Households,744,all_households,2021-04-01,2021-04-30,Q8a,without_children,652
Total Households,744,all_households,2021-04-01,2021-04-30,Q8a,with_children_and_adults,89
Total Households,744,all_households,2021-04-01,2021-04-30,Q8a,with_only_children,0
Total Households,744,all_households,2021-04-01,2021-04-30,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,91,all_households,2021-04-01,2021-04-30,Q8a,without_children,78
For PSH and RRH - the total persons served who moved into housing,91,all_households,2021-04-01,2021-04-30,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,91,all_households,2021-04-01,2021-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,91,all_households,2021-04-01,2021-04-30,Q8a,unknown_household_type,0
Total Households,715,all_households,2021-05-01,2021-05-31,Q8a,without_children,625
Total Households,715,all_households,2021-05-01,2021-05-31,Q8a,with_children_and_adults,86
Total Households,715,all_households,2021-05-01,2021-05-31,Q8a,with_only_children,1
Total Households,715,all_households,2021-05-01,2021-05-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-05-01,2021-05-31,Q8a,without_children,81
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-05-01,2021-05-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-05-01,2021-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-05-01,2021-05-31,Q8a,unknown_household_type,0
Total Households,745,all_households,2021-06-01,2021-06-30,Q8a,without_children,657
Total Households,745,all_households,2021-06-01,2021-06-30,Q8a,with_children_and_adults,86
Total Households,745,all_households,2021-06-01,2021-06-30,Q8a,with_only_children,0
Total Households,745,all_households,2021-06-01,2021-06-30,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-06-01,2021-06-30,Q8a,without_children,84
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-06-01,2021-06-30,Q8a,with_children_and_adults,10
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-06-01,2021-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-06-01,2021-06-30,Q8a,unknown_household_type,0
Total Households,753,all_households,2021-07-01,2021-07-31,Q8a,without_children,650
Total Households,753,all_households,2021-07-01,2021-07-31,Q8a,with_children_and_adults,101
Total Households,753,all_households,2021-07-01,2021-07-31,Q8a,with_only_children,0
Total Households,753,all_households,2021-07-01,2021-07-31,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-07-01,2021-07-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-07-01,2021-07-31,Q8a,with_children_and_adults,9
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-07-01,2021-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-07-01,2021-07-31,Q8a,unknown_household_type,0
Total Households,852,all_households,2021-08-01,2021-08-31,Q8a,without_children,728
Total Households,852,all_households,2021-08-01,2021-08-31,Q8a,with_children_and_adults,122
Total Households,852,all_households,2021-08-01,2021-08-31,Q8a,with_only_children,0
Total Households,852,all_households,2021-08-01,2021-08-31,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-08-01,2021-08-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-08-01,2021-08-31,Q8a,with_children_and_adults,9
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-08-01,2021-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,88,all_households,2021-08-01,2021-08-31,Q8a,unknown_household_type,0
Total Households,894,all_households,2021-09-01,2021-09-30,Q8a,without_children,762
Total Households,894,all_households,2021-09-01,2021-09-30,Q8a,with_children_and_adults,130
Total Households,894,all_households,2021-09-01,2021-09-30,Q8a,with_only_children,0
Total Households,894,all_households,2021-09-01,2021-09-30,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-09-01,2021-09-30,Q8a,without_children,83
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-09-01,2021-09-30,Q8a,with_children_and_adults,10
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-09-01,2021-09-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,93,all_households,2021-09-01,2021-09-30,Q8a,unknown_household_type,0
Total Households,927,all_households,2021-10-01,2021-10-31,Q8a,without_children,793
Total Households,927,all_households,2021-10-01,2021-10-31,Q8a,with_children_and_adults,130
Total Households,927,all_households,2021-10-01,2021-10-31,Q8a,with_only_children,1
Total Households,927,all_households,2021-10-01,2021-10-31,Q8a,unknown_household_type,3
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-10-01,2021-10-31,Q8a,without_children,81
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-10-01,2021-10-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-10-01,2021-10-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,94,all_households,2021-10-01,2021-10-31,Q8a,unknown_household_type,0
Total Households,985,all_households,2021-11-01,2021-11-30,Q8a,without_children,849
Total Households,985,all_households,2021-11-01,2021-11-30,Q8a,with_children_and_adults,134
Total Households,985,all_households,2021-11-01,2021-11-30,Q8a,with_only_children,0
Total Households,985,all_households,2021-11-01,2021-11-30,Q8a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,105,all_households,2021-11-01,2021-11-30,Q8a,without_children,87
For PSH and RRH - the total persons served who moved into housing,105,all_households,2021-11-01,2021-11-30,Q8a,with_children_and_adults,18
For PSH and RRH - the total persons served who moved into housing,105,all_households,2021-11-01,2021-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,105,all_households,2021-11-01,2021-11-30,Q8a,unknown_household_type,0
Total Households,1056,all_households,2021-12-01,2021-12-31,Q8a,without_children,901
Total Households,1056,all_households,2021-12-01,2021-12-31,Q8a,with_children_and_adults,150
Total Households,1056,all_households,2021-12-01,2021-12-31,Q8a,with_only_children,0
Total Households,1056,all_households,2021-12-01,2021-12-31,Q8a,unknown_household_type,5
For PSH and RRH - the total persons served who moved into housing,111,all_households,2021-12-01,2021-12-31,Q8a,without_children,89
For PSH and RRH - the total persons served who moved into housing,111,all_households,2021-12-01,2021-12-31,Q8a,with_children_and_adults,22
For PSH and RRH - the total persons served who moved into housing,111,all_households,2021-12-01,2021-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,111,all_households,2021-12-01,2021-12-31,Q8a,unknown_household_type,0
Total Households,1060,all_households,2022-01-01,2022-01-31,Q8a,without_children,914
Total Households,1060,all_households,2022-01-01,2022-01-31,Q8a,with_children_and_adults,141
Total Households,1060,all_households,2022-01-01,2022-01-31,Q8a,with_only_children,0
Total Households,1060,all_households,2022-01-01,2022-01-31,Q8a,unknown_household_type,5
For PSH and RRH - the total persons served who moved into housing,112,all_households,2022-01-01,2022-01-31,Q8a,without_children,92
For PSH and RRH - the total persons served who moved into housing,112,all_households,2022-01-01,2022-01-31,Q8a,with_children_and_adults,20
For PSH and RRH - the total persons served who moved into housing,112,all_households,2022-01-01,2022-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,112,all_households,2022-01-01,2022-01-31,Q8a,unknown_household_type,0
Total Households,1080,all_households,2022-02-01,2022-02-28,Q8a,without_children,924
Total Households,1080,all_households,2022-02-01,2022-02-28,Q8a,with_children_and_adults,151
Total Households,1080,all_households,2022-02-01,2022-02-28,Q8a,with_only_children,0
Total Households,1080,all_households,2022-02-01,2022-02-28,Q8a,unknown_household_type,5
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-02-01,2022-02-28,Q8a,without_children,96
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-02-01,2022-02-28,Q8a,with_children_and_adults,21
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-02-01,2022-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-02-01,2022-02-28,Q8a,unknown_household_type,0
Total Households,1157,all_households,2022-03-01,2022-03-31,Q8a,without_children,968
Total Households,1157,all_households,2022-03-01,2022-03-31,Q8a,with_children_and_adults,182
Total Households,1157,all_households,2022-03-01,2022-03-31,Q8a,with_only_children,0
Total Households,1157,all_households,2022-03-01,2022-03-31,Q8a,unknown_household_type,7
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-03-01,2022-03-31,Q8a,without_children,98
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-03-01,2022-03-31,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-03-01,2022-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,117,all_households,2022-03-01,2022-03-31,Q8a,unknown_household_type,0
Total Households,1162,all_households,2022-04-01,2022-04-30,Q8a,without_children,977
Total Households,1162,all_households,2022-04-01,2022-04-30,Q8a,with_children_and_adults,181
Total Households,1162,all_households,2022-04-01,2022-04-30,Q8a,with_only_children,0
Total Households,1162,all_households,2022-04-01,2022-04-30,Q8a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,109,all_households,2022-04-01,2022-04-30,Q8a,without_children,97
For PSH and RRH - the total persons served who moved into housing,109,all_households,2022-04-01,2022-04-30,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,109,all_households,2022-04-01,2022-04-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,109,all_households,2022-04-01,2022-04-30,Q8a,unknown_household_type,0
Total Households,1160,all_households,2022-05-01,2022-05-31,Q8a,without_children,968
Total Households,1160,all_households,2022-05-01,2022-05-31,Q8a,with_children_and_adults,188
Total Households,1160,all_households,2022-05-01,2022-05-31,Q8a,with_only_children,0
Total Households,1160,all_households,2022-05-01,2022-05-31,Q8a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,103,all_households,2022-05-01,2022-05-31,Q8a,without_children,91
For PSH and RRH - the total persons served who moved into housing,103,all_households,2022-05-01,2022-05-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,103,all_households,2022-05-01,2022-05-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,103,all_households,2022-05-01,2022-05-31,Q8a,unknown_household_type,0
Total Households,1209,all_households,2022-06-01,2022-06-30,Q8a,without_children,1010
Total Households,1209,all_households,2022-06-01,2022-06-30,Q8a,with_children_and_adults,194
Total Households,1209,all_households,2022-06-01,2022-06-30,Q8a,with_only_children,0
Total Households,1209,all_households,2022-06-01,2022-06-30,Q8a,unknown_household_type,5
For PSH and RRH - the total persons served who moved into housing,98,all_households,2022-06-01,2022-06-30,Q8a,without_children,85
For PSH and RRH - the total persons served who moved into housing,98,all_households,2022-06-01,2022-06-30,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,98,all_households,2022-06-01,2022-06-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,98,all_households,2022-06-01,2022-06-30,Q8a,unknown_household_type,0
Total Households,1170,all_households,2022-07-01,2022-07-31,Q8a,without_children,978
Total Households,1170,all_households,2022-07-01,2022-07-31,Q8a,with_children_and_adults,185
Total Households,1170,all_households,2022-07-01,2022-07-31,Q8a,with_only_children,0
Total Households,1170,all_households,2022-07-01,2022-07-31,Q8a,unknown_household_type,7
For PSH and RRH - the total persons served who moved into housing,92,all_households,2022-07-01,2022-07-31,Q8a,without_children,79
For PSH and RRH - the total persons served who moved into housing,92,all_households,2022-07-01,2022-07-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,92,all_households,2022-07-01,2022-07-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,92,all_households,2022-07-01,2022-07-31,Q8a,unknown_household_type,0
Total Households,1210,all_households,2022-08-01,2022-08-31,Q8a,without_children,999
Total Households,1210,all_households,2022-08-01,2022-08-31,Q8a,with_children_and_adults,203
Total Households,1210,all_households,2022-08-01,2022-08-31,Q8a,with_only_children,0
Total Households,1210,all_households,2022-08-01,2022-08-31,Q8a,unknown_household_type,8
For PSH and RRH - the total persons served who moved into housing,80,all_households,2022-08-01,2022-08-31,Q8a,without_children,68
For PSH and RRH - the total persons served who moved into housing,80,all_households,2022-08-01,2022-08-31,Q8a,with_children_and_adults,12
For PSH and RRH - the total persons served who moved into housing,80,all_households,2022-08-01,2022-08-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,80,all_households,2022-08-01,2022-08-31,Q8a,unknown_household_type,0
