number_of_youth_by_income_category,population,start_date,end_date,question,status,count
Youth with Missing Income Information,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,0
Youth with Missing Income Information,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,16
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,6
Number of Youth Stayers without Required Annual Assessment,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,31
Total Youth,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,22
Total Youth,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,9
1 or More Source of Income,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,18
1 or More Source of Income,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,6
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-11-01,2018-11-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,8
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,3
Youth with Only Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,6
Youth with Only Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Both Earned and Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,19
Youth with No Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,10
Youth with Client Doesn't Know/Client Refused Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,0
Youth with Missing Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,13
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,7
Number of Youth Stayers without Required Annual Assessment,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,34
Total Youth,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,20
Total Youth,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,14
1 or More Source of Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,16
1 or More Source of Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2018-12-01,2018-12-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,17
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,10
Youth with Only Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,8
Youth with Only Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,30
Youth with No Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,33
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,7
Number of Youth Stayers without Required Annual Assessment,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,57
Total Youth,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,40
Total Youth,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,17
1 or More Source of Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,29
1 or More Source of Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,12
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-01-01,2019-01-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,17
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,10
Youth with Only Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,7
Youth with Only Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,3
Youth with Both Earned and Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,43
Youth with No Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,20
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Youth with Missing Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,26
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers without Required Annual Assessment,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,67
Total Youth,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,34
Total Youth,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,33
1 or More Source of Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,27
1 or More Source of Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,13
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-02-01,2019-02-28,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,10
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Only Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,41
Youth with No Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,23
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,1
Youth with Missing Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,23
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers without Required Annual Assessment,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,56
Total Youth,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,32
Total Youth,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,24
1 or More Source of Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,17
1 or More Source of Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
1 or More Source of Income,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-03-01,2019-03-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,20
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,9
Youth with Only Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,5
Youth with Only Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Only Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,31
Youth with No Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,18
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,21
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers without Required Annual Assessment,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,59
Total Youth,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,30
Total Youth,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,29
1 or More Source of Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,28
1 or More Source of Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
1 or More Source of Income,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,12
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-04-01,2019-04-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,15
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,6
Youth with Only Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Only Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,3
Youth with Both Earned and Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,30
Youth with No Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,10
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,29
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,8
Number of Youth Stayers without Required Annual Assessment,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,54
Total Youth,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,38
Total Youth,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,16
1 or More Source of Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,24
1 or More Source of Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
1 or More Source of Income,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,7
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-05-01,2019-05-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,13
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Only Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,5
Youth with Only Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
Youth with Only Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,3
Youth with Both Earned and Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with No Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,31
Youth with No Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,14
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,25
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,9
Number of Youth Stayers without Required Annual Assessment,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,54
Total Youth,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,35
Total Youth,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,19
1 or More Source of Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,22
1 or More Source of Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
1 or More Source of Income,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_exit_leavers,5
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-06-01,2019-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,1
