income_change_by_income_category_universe_adult_stayers_with_income_information_at_start_and_annual_assessment,had_income_category_at_start_and_did_not_have_it_at_annual_assessment,retained_income_category_but_had_less_at_annual_assessment_than_at_start,retained_income_category_and_same_at_annual_assessment_as_at_start,retained_income_category_and_increased_at_annual_assessment,did_not_have_the_income_category_at_start_and_gained_the_income_category_at_annual_assessment,did_not_have_the_income_category_at_start_or_at_annual_assessment,total_adults_including_those_with_no_income,performance_measure_adults_who_gained_or_increased_income_from_start_to_annual_assessment,average_gain,performance_measure_percent_of_persons_who_accomplished_this_measure,population,start_date,end_date,question
Average Change in Earned Income,-1008,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-08-01,2020-08-31,Q19a1
Number of Adults with Other Income,3,2,6,26,1,21,59,27,0.46,NA,all_persons,2020-08-01,2020-08-31,Q19a1
Average Change in Other Income,-991,-754.5,0,531.69,783,0,0,541,0,NA,all_persons,2020-08-01,2020-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",4,3,9,28,2,10,59,31,0.53,NA,all_persons,2020-08-01,2020-08-31,Q19a1
Average Change in Overall Income,-1005.75,-753,0,479.11,1128.5,0,182,528.39,0,NA,all_persons,2020-08-01,2020-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,1,46,59,4,0.07,NA,all_persons,2020-09-01,2020-09-30,Q19a1
Average Change in Earned Income,-1196,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-09-01,2020-09-30,Q19a1
Number of Adults with Other Income,3,2,4,27,1,22,59,28,0.47,NA,all_persons,2020-09-01,2020-09-30,Q19a1
Average Change in Other Income,-991,-754.5,0,514.15,783,0,0,523.75,0,NA,all_persons,2020-09-01,2020-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,3,6,29,2,11,59,32,0.54,NA,all_persons,2020-09-01,2020-09-30,Q19a1
Average Change in Overall Income,-1156.6,-753,0,464.59,1128.5,0,153,513.69,0,NA,all_persons,2020-09-01,2020-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,1,48,61,4,0.07,NA,all_persons,2020-10-01,2020-10-31,Q19a1
Average Change in Earned Income,-1196,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-10-01,2020-10-31,Q19a1
Number of Adults with Other Income,3,3,4,28,1,22,61,29,0.48,NA,all_persons,2020-10-01,2020-10-31,Q19a1
Average Change in Other Income,-991,-642,0,499.64,783,0,0,509.41,0,NA,all_persons,2020-10-01,2020-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,4,6,30,2,11,61,33,0.54,NA,all_persons,2020-10-01,2020-10-31,Q19a1
Average Change in Overall Income,-1156.6,-669,0,452.7,1128.5,0,143,501.39,0,NA,all_persons,2020-10-01,2020-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,1,48,61,4,0.07,NA,all_persons,2020-11-01,2020-11-30,Q19a1
Average Change in Earned Income,-1196,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-11-01,2020-11-30,Q19a1
Number of Adults with Other Income,3,3,4,28,1,22,61,29,0.48,NA,all_persons,2020-11-01,2020-11-30,Q19a1
Average Change in Other Income,-991,-642,0,577.71,783,0,0,584.79,0,NA,all_persons,2020-11-01,2020-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,4,6,30,2,11,61,33,0.54,NA,all_persons,2020-11-01,2020-11-30,Q19a1
Average Change in Overall Income,-1156.6,-669,0,525.57,1128.5,0,179,567.64,0,NA,all_persons,2020-11-01,2020-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,0,3,2,1,48,60,4,0.07,NA,all_persons,2020-12-01,2020-12-31,Q19a1
Average Change in Earned Income,-1186.67,0,0,407.5,1474,0,0,749.25,0,NA,all_persons,2020-12-01,2020-12-31,Q19a1
Number of Adults with Other Income,3,3,4,27,1,22,60,28,0.47,NA,all_persons,2020-12-01,2020-12-31,Q19a1
Average Change in Other Income,-991,-642,0,409.3,783,0,0,422.64,0,NA,all_persons,2020-12-01,2020-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,4,6,29,2,11,60,32,0.53,NA,all_persons,2020-12-01,2020-12-31,Q19a1
Average Change in Overall Income,-1156.6,-669,0,409.17,1128.5,0,117,463.47,0,NA,all_persons,2020-12-01,2020-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,45,57,3,0.05,NA,all_persons,2021-01-01,2021-01-31,Q19a1
Average Change in Earned Income,-1072,0,0,407.5,0,0,0,507.67,0,NA,all_persons,2021-01-01,2021-01-31,Q19a1
Number of Adults with Other Income,3,3,4,26,2,19,57,28,0.49,NA,all_persons,2021-01-01,2021-01-31,Q19a1
Average Change in Other Income,-991,-642,0,426.04,1010.5,0,0,467.79,0,NA,all_persons,2021-01-01,2021-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,4,6,29,1,9,57,31,0.54,NA,all_persons,2021-01-01,2021-01-31,Q19a1
Average Change in Overall Income,-1156.6,-669,0,427.66,783,0,107,448.16,0,NA,all_persons,2021-01-01,2021-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,46,58,3,0.05,NA,all_persons,2021-02-01,2021-02-28,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,765.67,0,NA,all_persons,2021-02-01,2021-02-28,Q19a1
Number of Adults with Other Income,3,3,4,26,4,18,58,30,0.52,NA,all_persons,2021-02-01,2021-02-28,Q19a1
Average Change in Other Income,-991,-642,0,470.42,902.25,0,0,528,0,NA,all_persons,2021-02-01,2021-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,4,6,29,3,8,58,33,0.57,NA,all_persons,2021-02-01,2021-02-28,Q19a1
Average Change in Overall Income,-1156.6,-669,0,494.14,790.33,0,166,527.55,0,NA,all_persons,2021-02-01,2021-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,49,61,3,0.05,NA,all_persons,2021-03-01,2021-03-31,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,765.67,0,NA,all_persons,2021-03-01,2021-03-31,Q19a1
Number of Adults with Other Income,4,4,4,27,4,18,61,31,0.51,NA,all_persons,2021-03-01,2021-03-31,Q19a1
Average Change in Other Income,-877.75,-725.5,0,483.56,902.25,0,0,537.58,0,NA,all_persons,2021-03-01,2021-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,5,6,30,3,8,61,34,0.56,NA,all_persons,2021-03-01,2021-03-31,Q19a1
Average Change in Overall Income,-1053.5,-730.4,0,505.17,790.33,0,146,536.29,0,NA,all_persons,2021-03-01,2021-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,48,60,3,0.05,NA,all_persons,2021-04-01,2021-04-30,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,765.67,0,NA,all_persons,2021-04-01,2021-04-30,Q19a1
Number of Adults with Other Income,4,3,3,28,5,17,60,33,0.55,NA,all_persons,2021-04-01,2021-04-30,Q19a1
Average Change in Other Income,-877.75,-838.33,0,469.64,953.8,0,0,543,0,NA,all_persons,2021-04-01,2021-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,4,5,31,4,7,60,36,0.6,NA,all_persons,2021-04-01,2021-04-30,Q19a1
Average Change in Overall Income,-1053.5,-816.25,0,491.9,882.75,0,176,541.33,0,NA,all_persons,2021-04-01,2021-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,49,61,3,0.05,NA,all_persons,2021-05-01,2021-05-31,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-05-01,2021-05-31,Q19a1
Number of Adults with Other Income,4,3,3,28,6,17,61,34,0.56,NA,all_persons,2021-05-01,2021-05-31,Q19a1
Average Change in Other Income,-877.75,-838.33,0,470.54,1003.17,0,0,564.53,0,NA,all_persons,2021-05-01,2021-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,4,5,31,5,7,61,37,0.61,NA,all_persons,2021-05-01,2021-05-31,Q19a1
Average Change in Overall Income,-1053.5,-816.25,0,492.71,956.2,0,200,571.43,0,NA,all_persons,2021-05-01,2021-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,46,57,3,0.05,NA,all_persons,2021-06-01,2021-06-30,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-06-01,2021-06-30,Q19a1
Number of Adults with Other Income,4,3,2,26,7,15,57,33,0.58,NA,all_persons,2021-06-01,2021-06-30,Q19a1
Average Change in Other Income,-877.75,-838.33,0,459.46,968.43,0,0,567.42,0,NA,all_persons,2021-06-01,2021-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,4,4,29,6,6,57,36,0.63,NA,all_persons,2021-06-01,2021-06-30,Q19a1
Average Change in Overall Income,-1053.5,-816.25,0,484.31,923.5,0,206,574.28,0,NA,all_persons,2021-06-01,2021-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",4,0,3,2,0,47,58,3,0.05,NA,all_persons,2021-07-01,2021-07-31,Q19a1
Average Change in Earned Income,-1072,0,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-07-01,2021-07-31,Q19a1
Number of Adults with Other Income,4,3,2,26,8,15,58,34,0.59,NA,all_persons,2021-07-01,2021-07-31,Q19a1
Average Change in Other Income,-877.75,-838.33,0,461.81,997.38,0,0,587.82,0,NA,all_persons,2021-07-01,2021-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,4,4,29,7,6,58,37,0.64,NA,all_persons,2021-07-01,2021-07-31,Q19a1
Average Change in Overall Income,-1053.5,-816.25,0,486.41,963,0,224,592.84,0,NA,all_persons,2021-07-01,2021-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,3,2,0,48,59,3,0.05,NA,all_persons,2021-08-01,2021-08-31,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-08-01,2021-08-31,Q19a1
Number of Adults with Other Income,4,3,3,26,8,15,59,34,0.58,NA,all_persons,2021-08-01,2021-08-31,Q19a1
Average Change in Other Income,-877.75,-838.33,0,465,998.75,0,0,590.59,0,NA,all_persons,2021-08-01,2021-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,5,5,29,7,6,59,37,0.63,NA,all_persons,2021-08-01,2021-08-31,Q19a1
Average Change in Overall Income,-1144.2,-693,0,489.28,964.57,0,225,595.38,0,NA,all_persons,2021-08-01,2021-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,3,2,0,47,58,3,0.05,NA,all_persons,2021-09-01,2021-09-30,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-09-01,2021-09-30,Q19a1
Number of Adults with Other Income,4,3,3,25,8,15,58,33,0.57,NA,all_persons,2021-09-01,2021-09-30,Q19a1
Average Change in Other Income,-877.75,-838.33,0,470.96,998.75,0,0,598.91,0,NA,all_persons,2021-09-01,2021-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,5,5,28,7,6,58,36,0.62,NA,all_persons,2021-09-01,2021-09-30,Q19a1
Average Change in Overall Income,-1144.2,-693,0,495.46,964.57,0,223,603.14,0,NA,all_persons,2021-09-01,2021-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,4,2,0,47,59,3,0.05,NA,all_persons,2021-10-01,2021-10-31,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-10-01,2021-10-31,Q19a1
Number of Adults with Other Income,4,3,2,25,8,17,59,33,0.56,NA,all_persons,2021-10-01,2021-10-31,Q19a1
Average Change in Other Income,-877.75,-838.33,0,472.88,998.75,0,0,600.36,0,NA,all_persons,2021-10-01,2021-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,5,5,28,7,7,59,36,0.61,NA,all_persons,2021-10-01,2021-10-31,Q19a1
Average Change in Overall Income,-1144.2,-693,0,497.18,964.57,0,220,604.47,0,NA,all_persons,2021-10-01,2021-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,4,2,0,48,60,3,0.05,NA,all_persons,2021-11-01,2021-11-30,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-11-01,2021-11-30,Q19a1
Number of Adults with Other Income,4,3,3,25,8,17,60,33,0.55,NA,all_persons,2021-11-01,2021-11-30,Q19a1
Average Change in Other Income,-877.75,-838.33,0,442.12,998.75,0,0,577.06,0,NA,all_persons,2021-11-01,2021-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",5,5,6,28,7,7,60,36,0.6,NA,all_persons,2021-11-01,2021-11-30,Q19a1
Average Change in Overall Income,-1144.2,-693,0,469.71,964.57,0,204,583.11,0,NA,all_persons,2021-11-01,2021-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,3,2,0,48,59,3,0.05,NA,all_persons,2021-12-01,2021-12-31,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,0,0,0,892.33,0,NA,all_persons,2021-12-01,2021-12-31,Q19a1
Number of Adults with Other Income,5,3,3,24,8,16,59,32,0.54,NA,all_persons,2021-12-01,2021-12-31,Q19a1
Average Change in Other Income,-846.4,-838.33,0,457.96,998.75,0,0,593.16,0,NA,all_persons,2021-12-01,2021-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,5,5,27,7,7,59,35,0.59,NA,all_persons,2021-12-01,2021-12-31,Q19a1
Average Change in Overall Income,-1073.67,-693,0,484.81,964.57,0,194,598,0,NA,all_persons,2021-12-01,2021-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,3,2,2,49,62,5,0.08,NA,all_persons,2022-01-01,2022-01-31,Q19a1
Average Change in Earned Income,-1229.33,-200,0,794.5,1978.5,0,0,1326.8,0,NA,all_persons,2022-01-01,2022-01-31,Q19a1
Number of Adults with Other Income,5,3,4,25,8,17,62,33,0.53,NA,all_persons,2022-01-01,2022-01-31,Q19a1
Average Change in Other Income,-846.4,-838.33,0,499.52,972.38,0,0,614.15,0,NA,all_persons,2022-01-01,2022-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,5,6,28,8,7,62,37,0.6,NA,all_persons,2022-01-01,2022-01-31,Q19a1
Average Change in Overall Income,-1073.67,-693,0,563.89,1162,0,269,707.38,0,NA,all_persons,2022-01-01,2022-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,1,3,2,3,46,60,6,0.1,NA,all_persons,2022-02-01,2022-02-28,Q19a1
Average Change in Earned Income,-1229.33,-200,0,1188,2132,0,0,1643.33,0,NA,all_persons,2022-02-01,2022-02-28,Q19a1
Number of Adults with Other Income,5,3,4,24,7,17,60,31,0.52,NA,all_persons,2022-02-01,2022-02-28,Q19a1
Average Change in Other Income,-846.4,-838.33,0,440.71,987.29,0,0,564.13,0,NA,all_persons,2022-02-01,2022-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",6,5,5,28,7,7,60,36,0.6,NA,all_persons,2022-02-01,2022-02-28,Q19a1
Average Change in Overall Income,-1073.67,-693,0,549.46,1449.57,0,285,739.44,0,NA,all_persons,2022-02-01,2022-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,3,2,3,43,56,6,0.11,NA,all_persons,2022-03-01,2022-03-31,Q19a1
Average Change in Earned Income,-964,-200,0,1188,2132,0,0,1643.33,0,NA,all_persons,2022-03-01,2022-03-31,Q19a1
Number of Adults with Other Income,2,3,3,24,8,16,56,32,0.57,NA,all_persons,2022-03-01,2022-03-31,Q19a1
Average Change in Other Income,-735.5,-696,0,443,973.63,0,0,575.66,0,NA,all_persons,2022-03-01,2022-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,5,4,28,8,7,56,37,0.66,NA,all_persons,2022-03-01,2022-03-31,Q19a1
Average Change in Overall Income,-960.5,-607.6,0,551.43,1378.13,0,411,744.68,0,NA,all_persons,2022-03-01,2022-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,2,3,3,42,55,7,0.13,NA,all_persons,2022-04-01,2022-04-30,Q19a1
Average Change in Earned Income,-964,-200,0,1510,2132,0,0,1716.29,0,NA,all_persons,2022-04-01,2022-04-30,Q19a1
Number of Adults with Other Income,2,3,3,24,7,16,55,31,0.56,NA,all_persons,2022-04-01,2022-04-30,Q19a1
Average Change in Other Income,-735.5,-696,0,445.08,999.29,0,0,570.23,0,NA,all_persons,2022-04-01,2022-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,5,3,29,7,7,55,37,0.67,NA,all_persons,2022-04-01,2022-04-30,Q19a1
Average Change in Overall Income,-960.5,-607.6,0,608.41,1461.57,0,444,782.78,0,NA,all_persons,2022-04-01,2022-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,2,3,2,42,54,6,0.11,NA,all_persons,2022-05-01,2022-05-31,Q19a1
Average Change in Earned Income,-964,-200,0,1510,1820.5,0,0,1548.83,0,NA,all_persons,2022-05-01,2022-05-31,Q19a1
Number of Adults with Other Income,1,3,3,25,7,15,54,32,0.59,NA,all_persons,2022-05-01,2022-05-31,Q19a1
Average Change in Other Income,-721,-696,0,432.8,1004,0,0,557.75,0,NA,all_persons,2022-05-01,2022-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,4,3,30,6,7,54,37,0.69,NA,all_persons,2022-05-01,2022-05-31,Q19a1
Average Change in Overall Income,-960.5,-572,0,592.73,1251.5,0,419,713.86,0,NA,all_persons,2022-05-01,2022-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,2,3,2,42,54,6,0.11,NA,all_persons,2022-06-01,2022-06-30,Q19a1
Average Change in Earned Income,-964,-200,0,1510,1820.5,0,0,1548.83,0,NA,all_persons,2022-06-01,2022-06-30,Q19a1
Number of Adults with Other Income,1,3,2,25,7,16,54,32,0.59,NA,all_persons,2022-06-01,2022-06-30,Q19a1
Average Change in Other Income,-721,-696,0,432.8,1004,0,0,557.75,0,NA,all_persons,2022-06-01,2022-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,4,2,30,6,8,54,37,0.69,NA,all_persons,2022-06-01,2022-06-30,Q19a1
Average Change in Overall Income,-960.5,-572,0,592.73,1251.5,0,419,713.86,0,NA,all_persons,2022-06-01,2022-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",2,1,2,3,2,41,53,6,0.11,NA,all_persons,2022-07-01,2022-07-31,Q19a1
Average Change in Earned Income,-964,-200,0,1510,1820.5,0,0,1548.83,0,NA,all_persons,2022-07-01,2022-07-31,Q19a1
Number of Adults with Other Income,1,3,1,25,7,16,53,32,0.6,NA,all_persons,2022-07-01,2022-07-31,Q19a1
Average Change in Other Income,-721,-696,0,441.64,1004,0,0,564.66,0,NA,all_persons,2022-07-01,2022-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,4,1,30,6,8,53,37,0.7,NA,all_persons,2022-07-01,2022-07-31,Q19a1
Average Change in Overall Income,-960.5,-572,0,600.1,1251.5,0,431,719.84,0,NA,all_persons,2022-07-01,2022-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",3,0,2,3,3,40,53,7,0.13,NA,all_persons,2022-08-01,2022-08-31,Q19a1
Average Change in Earned Income,-842.67,0,0,1510,1359.67,0,0,1390.14,0,NA,all_persons,2022-08-01,2022-08-31,Q19a1
Number of Adults with Other Income,1,3,1,25,7,16,53,32,0.6,NA,all_persons,2022-08-01,2022-08-31,Q19a1
Average Change in Other Income,-721,-696,0,416.08,1004,0,0,544.69,0,NA,all_persons,2022-08-01,2022-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",3,3,1,30,6,8,53,37,0.7,NA,all_persons,2022-08-01,2022-08-31,Q19a1
Average Change in Overall Income,-840.33,-696,0,593.4,1251.5,0,435,714.41,0,NA,all_persons,2022-08-01,2022-08-31,Q19a1
