number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,12
Veterans with Only Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,6
Veterans with No Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,1
Veterans with Missing Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Number of veterans not yet required to have an annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_start,22
Total Veterans,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,21
Total Veterans,veterans,2018-08-01,2018-08-31,Q25f,number_of_veterans_at_exit_leavers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,13
Veterans with Only Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,7
Veterans with No Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,1
Veterans with Missing Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,10
Number of veterans not yet required to have an annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_start,23
Total Veterans,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,23
Total Veterans,veterans,2018-09-01,2018-09-30,Q25f,number_of_veterans_at_exit_leavers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,13
Veterans with Only Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,9
Veterans with No Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,2
Veterans with Missing Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,1
Number of veterans not yet required to have an annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,11
Number of veterans not yet required to have an annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Number of veterans without required annual assessment,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_start,27
Total Veterans,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,24
Total Veterans,veterans,2018-10-01,2018-10-31,Q25f,number_of_veterans_at_exit_leavers,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,16
Veterans with Only Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,9
Veterans with No Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,13
Number of veterans not yet required to have an annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_start,30
Total Veterans,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,28
Total Veterans,veterans,2018-11-01,2018-11-30,Q25f,number_of_veterans_at_exit_leavers,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,17
Veterans with Only Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,16
Veterans with No Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,17
Number of veterans not yet required to have an annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_start,40
Total Veterans,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,32
Total Veterans,veterans,2018-12-01,2018-12-31,Q25f,number_of_veterans_at_exit_leavers,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,17
Veterans with Only Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,4
Veterans with Both Earned and Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with No Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,15
Veterans with No Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,18
Number of veterans not yet required to have an annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_start,44
Total Veterans,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,34
Total Veterans,veterans,2019-01-01,2019-01-31,Q25f,number_of_veterans_at_exit_leavers,10
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Only Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,19
Veterans with Only Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,15
Veterans with No Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,16
Number of veterans not yet required to have an annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_start,42
Total Veterans,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,32
Total Veterans,veterans,2019-02-01,2019-02-28,Q25f,number_of_veterans_at_exit_leavers,10
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,20
Veterans with Only Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,4
Veterans with Both Earned and Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,15
Veterans with No Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,19
Number of veterans not yet required to have an annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_start,43
Total Veterans,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,34
Total Veterans,veterans,2019-03-01,2019-03-31,Q25f,number_of_veterans_at_exit_leavers,9
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,6
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Only Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,21
Veterans with Only Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,7
Veterans with Both Earned and Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,3
Veterans with Both Earned and Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
Veterans with Both Earned and Other Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,21
Veterans with No Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,11
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,14
Number of veterans not yet required to have an annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Number of veterans without required annual assessment,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_start,51
Total Veterans,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,29
Total Veterans,veterans,2019-04-01,2019-04-30,Q25f,number_of_veterans_at_exit_leavers,22
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2019-05-01,2019-05-31,Q25f,number_of_veterans_at_start,7
