data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Race (3.4),6,20,0,26,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Ethinicity (3.5),8,18,0,26,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Gender (3.6),0,9,0,9,0,data_quality,2022-05-01,2022-05-31,Q6a
Overall Score,0,0,0,370,0.2,data_quality,2022-05-01,2022-05-31,Q6a
Name (3.1),2,0,18,20,0.01,data_quality,2022-06-01,2022-06-30,Q6a
Social Security Number (3.2),149,111,95,355,0.18,data_quality,2022-06-01,2022-06-30,Q6a
Date of Birth (3.3),5,14,1,20,0.01,data_quality,2022-06-01,2022-06-30,Q6a
Race (3.4),7,21,0,28,0.01,data_quality,2022-06-01,2022-06-30,Q6a
Ethinicity (3.5),12,21,0,33,0.02,data_quality,2022-06-01,2022-06-30,Q6a
Gender (3.6),0,8,0,8,0,data_quality,2022-06-01,2022-06-30,Q6a
Overall Score,0,0,0,390,0.2,data_quality,2022-06-01,2022-06-30,Q6a
Name (3.1),3,0,18,21,0.01,data_quality,2022-07-01,2022-07-31,Q6a
Social Security Number (3.2),142,119,99,360,0.19,data_quality,2022-07-01,2022-07-31,Q6a
Date of Birth (3.3),5,18,1,24,0.01,data_quality,2022-07-01,2022-07-31,Q6a
Race (3.4),7,29,0,36,0.02,data_quality,2022-07-01,2022-07-31,Q6a
Ethinicity (3.5),12,23,0,35,0.02,data_quality,2022-07-01,2022-07-31,Q6a
Gender (3.6),0,9,0,9,0,data_quality,2022-07-01,2022-07-31,Q6a
Overall Score,0,0,0,396,0.21,data_quality,2022-07-01,2022-07-31,Q6a
Name (3.1),2,0,18,20,0.01,data_quality,2022-08-01,2022-08-31,Q6a
Social Security Number (3.2),162,133,101,396,0.2,data_quality,2022-08-01,2022-08-31,Q6a
Date of Birth (3.3),5,17,1,23,0.01,data_quality,2022-08-01,2022-08-31,Q6a
Race (3.4),10,32,0,42,0.02,data_quality,2022-08-01,2022-08-31,Q6a
Ethinicity (3.5),12,27,0,39,0.02,data_quality,2022-08-01,2022-08-31,Q6a
Gender (3.6),0,9,0,9,0,data_quality,2022-08-01,2022-08-31,Q6a
Overall Score,0,0,0,438,0.22,data_quality,2022-08-01,2022-08-31,Q6a
