income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Supplemental Security Income (SSI),13,1,14,0.93,4,2,6,0.67,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,4,0,4,1,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,1,1,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Child Support,1,0,1,1,1,2,3,0.33,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Other source,2,0,2,1,0,0,0,0,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
No Sources,16,24,40,0.4,1,5,6,0.17,0,0,0,0,adults,2017-11-01,2017-11-30,Q19b
Unduplicated Total Adults,38,34,72,NA,7,18,25,NA,0,0,0,NA,adults,2017-11-01,2017-11-30,Q19b
Earned Income,5,15,20,0.25,3,16,19,0.16,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Supplemental Security Income (SSI),9,5,14,0.64,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Social Security Disability Insurance (SSDI),6,1,7,0.86,1,0,1,1,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,1,1,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Child Support,0,0,0,0,2,5,7,0.29,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Other source,2,0,2,1,0,0,0,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
No Sources,13,28,41,0.32,0,3,3,0,0,0,0,0,adults,2017-12-01,2017-12-31,Q19b
Unduplicated Total Adults,33,50,83,NA,4,21,25,NA,0,0,0,NA,adults,2017-12-01,2017-12-31,Q19b
Earned Income,4,9,13,0.31,2,7,9,0.22,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Supplemental Security Income (SSI),9,0,9,1,2,1,3,0.67,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Social Security Disability Insurance (SSDI),4,0,4,1,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Other source,0,1,1,0,0,0,0,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
No Sources,11,19,30,0.37,0,4,4,0,0,0,0,0,adults,2018-01-01,2018-01-31,Q19b
Unduplicated Total Adults,26,29,55,NA,3,12,15,NA,0,0,0,NA,adults,2018-01-01,2018-01-31,Q19b
Earned Income,5,18,23,0.22,3,5,8,0.38,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Supplemental Security Income (SSI),12,1,13,0.92,2,0,2,1,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Social Security Disability Insurance (SSDI),8,2,10,0.8,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,2,1,3,0.67,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Child Support,0,0,0,0,1,1,2,0.5,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Other source,3,1,4,0.75,0,0,0,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
No Sources,9,19,28,0.32,0,3,3,0,0,0,0,0,adults,2018-02-01,2018-02-28,Q19b
Unduplicated Total Adults,30,39,69,NA,5,8,13,NA,0,0,0,NA,adults,2018-02-01,2018-02-28,Q19b
Earned Income,3,19,22,0.14,2,12,14,0.14,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Supplemental Security Income (SSI),7,5,12,0.58,3,2,5,0.6,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Social Security Disability Insurance (SSDI),5,0,5,1,1,1,2,0.5,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Child Support,0,0,0,0,2,0,2,1,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Other source,0,2,2,0,1,0,1,1,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
No Sources,11,24,35,0.31,1,2,3,0.33,0,0,0,0,adults,2018-03-01,2018-03-31,Q19b
Unduplicated Total Adults,26,49,75,NA,7,14,21,NA,0,0,0,NA,adults,2018-03-01,2018-03-31,Q19b
Earned Income,9,11,20,0.45,1,4,5,0.2,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Supplemental Security Income (SSI),6,0,6,1,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,1,1,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Retirement Income from Social Security,2,0,2,1,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Other source,2,0,2,1,0,0,0,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
No Sources,18,24,42,0.43,0,3,3,0,0,0,0,0,adults,2018-04-01,2018-04-30,Q19b
Unduplicated Total Adults,38,36,74,NA,1,7,8,NA,0,0,0,NA,adults,2018-04-01,2018-04-30,Q19b
Earned Income,6,16,22,0.27,2,19,21,0.1,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Supplemental Security Income (SSI),8,1,9,0.89,1,0,1,1,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,3,3,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Child Support,0,0,0,0,0,3,3,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Other source,1,1,2,0.5,0,2,2,0,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
No Sources,3,6,9,0.33,2,7,9,0.22,0,0,0,0,adults,2018-05-01,2018-05-31,Q19b
Unduplicated Total Adults,21,23,44,NA,5,28,33,NA,0,0,0,NA,adults,2018-05-01,2018-05-31,Q19b
Earned Income,15,5,20,0.75,2,15,17,0.12,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Supplemental Security Income (SSI),9,1,10,0.9,1,1,2,0.5,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Social Security Disability Insurance (SSDI),12,0,12,1,0,1,1,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Worker's Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,4,5,0.2,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Child Support,0,0,0,0,1,4,5,0.2,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Other source,1,0,1,1,0,1,1,0,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
No Sources,13,4,17,0.76,5,12,17,0.29,0,0,0,0,adults,2018-06-01,2018-06-30,Q19b
Unduplicated Total Adults,48,12,60,NA,9,30,39,NA,0,0,0,NA,adults,2018-06-01,2018-06-30,Q19b
Earned Income,2,6,8,0.25,2,9,11,0.18,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Supplemental Security Income (SSI),3,0,3,1,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Social Security Disability Insurance (SSDI),3,0,3,1,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,2,1,3,0.67,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,1,1,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Other source,1,0,1,1,0,1,1,0,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
No Sources,5,0,5,1,1,3,4,0.25,0,0,0,0,adults,2018-07-01,2018-07-31,Q19b
Unduplicated Total Adults,11,6,17,NA,4,13,17,NA,0,0,0,NA,adults,2018-07-01,2018-07-31,Q19b
Earned Income,3,9,12,0.25,2,12,14,0.14,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Supplemental Security Income (SSI),4,1,5,0.8,1,1,2,0.5,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Social Security Disability Insurance (SSDI),8,1,9,0.89,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,1,0,1,1,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Pension or retirement income from a former job,2,0,2,1,0,0,0,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Child Support,0,0,0,0,0,2,2,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Other source,0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
No Sources,1,3,4,0.25,1,6,7,0.14,0,0,0,0,adults,2018-08-01,2018-08-31,Q19b
Unduplicated Total Adults,17,15,32,NA,4,18,22,NA,0,0,0,NA,adults,2018-08-01,2018-08-31,Q19b
Earned Income,2,5,7,0.29,2,12,14,0.14,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Supplemental Security Income (SSI),1,0,1,1,1,1,2,0.5,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Social Security Disability Insurance (SSDI),3,0,3,1,0,1,1,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,3,3,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Other source,0,1,1,0,0,1,1,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
No Sources,4,3,7,0.57,0,4,4,0,0,0,0,0,adults,2018-09-01,2018-09-30,Q19b
Unduplicated Total Adults,10,8,18,NA,3,21,24,NA,0,0,0,NA,adults,2018-09-01,2018-09-30,Q19b
Earned Income,3,9,12,0.25,2,16,18,0.11,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Supplemental Security Income (SSI),5,2,7,0.71,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Social Security Disability Insurance (SSDI),5,0,5,1,2,0,2,1,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,1,0,1,1,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Retirement Income from Social Security,0,1,1,0,0,1,1,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Child Support,0,1,1,0,2,1,3,0.67,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Other source,0,1,1,0,0,0,0,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
No Sources,2,3,5,0.4,0,4,4,0,0,0,0,0,adults,2018-10-01,2018-10-31,Q19b
Unduplicated Total Adults,14,17,31,NA,5,21,26,NA,0,0,0,NA,adults,2018-10-01,2018-10-31,Q19b
Earned Income,8,15,23,0.35,2,16,18,0.11,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Supplemental Security Income (SSI),5,1,6,0.83,2,0,2,1,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Social Security Disability Insurance (SSDI),3,0,3,1,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Retirement Income from Social Security,3,0,3,1,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Child Support,0,1,1,0,1,0,1,1,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Other source,2,0,2,1,0,0,0,0,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
No Sources,5,15,20,0.25,1,6,7,0.14,0,0,0,0,adults,2018-11-01,2018-11-30,Q19b
Unduplicated Total Adults,21,31,52,NA,5,22,27,NA,0,0,0,NA,adults,2018-11-01,2018-11-30,Q19b
Earned Income,5,19,24,0.21,1,11,12,0.08,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Supplemental Security Income (SSI),18,2,20,0.9,4,3,7,0.57,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Social Security Disability Insurance (SSDI),19,1,20,0.95,2,1,3,0.67,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Pension or retirement income from a former job,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Child Support,0,1,1,0,0,1,1,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Other source,2,3,5,0.4,1,1,2,0.5,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
No Sources,16,40,56,0.29,0,7,7,0,0,0,0,0,adults,2018-12-01,2018-12-31,Q19b
Unduplicated Total Adults,54,63,117,NA,6,21,27,NA,0,0,0,NA,adults,2018-12-01,2018-12-31,Q19b
Earned Income,6,62,68,0.09,4,12,16,0.25,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Supplemental Security Income (SSI),21,5,26,0.81,3,0,3,1,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Social Security Disability Insurance (SSDI),22,3,25,0.88,1,0,1,1,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Temporary Assistance for Needy Families (TANF),2,5,7,0.29,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Retirement Income from Social Security,2,0,2,1,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Pension or retirement income from a former job,2,0,2,1,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Child Support,1,7,8,0.13,0,1,1,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Other source,1,4,5,0.2,0,0,0,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
No Sources,12,44,56,0.21,0,5,5,0,0,0,0,0,adults,2019-01-01,2019-01-31,Q19b
Unduplicated Total Adults,50,119,169,NA,8,17,25,NA,0,0,0,NA,adults,2019-01-01,2019-01-31,Q19b
Earned Income,12,55,67,0.18,0,21,21,0,0,1,1,0,adults,2019-02-01,2019-02-28,Q19b
Supplemental Security Income (SSI),18,3,21,0.86,2,0,2,1,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Social Security Disability Insurance (SSDI),33,1,34,0.97,2,1,3,0.67,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Private Disability Insurance,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Worker's Compensation,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Temporary Assistance for Needy Families (TANF),3,1,4,0.75,0,3,3,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Pension or retirement income from a former job,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Child Support,0,7,7,0,0,2,2,0,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Other source,3,1,4,0.75,0,2,2,0,0,1,1,0,adults,2019-02-01,2019-02-28,Q19b
No Sources,11,38,49,0.22,1,8,9,0.11,0,0,0,0,adults,2019-02-01,2019-02-28,Q19b
Unduplicated Total Adults,66,102,168,NA,4,32,36,NA,0,1,1,NA,adults,2019-02-01,2019-02-28,Q19b
Earned Income,17,42,59,0.29,1,10,11,0.09,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Supplemental Security Income (SSI),17,5,22,0.77,2,1,3,0.67,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Social Security Disability Insurance (SSDI),26,0,26,1,2,0,2,1,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
VA Service-Connected Disability Compensation,3,0,3,1,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,2,2,0,0,1,1,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Retirement Income from Social Security,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Child Support,0,1,1,0,1,1,2,0.5,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Other source,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
No Sources,14,35,49,0.29,2,5,7,0.29,0,0,0,0,adults,2019-03-01,2019-03-31,Q19b
Unduplicated Total Adults,68,83,151,NA,6,16,22,NA,0,0,0,NA,adults,2019-03-01,2019-03-31,Q19b
Earned Income,12,48,60,0.2,2,15,17,0.12,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Supplemental Security Income (SSI),16,5,21,0.76,1,1,2,0.5,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Social Security Disability Insurance (SSDI),24,5,29,0.83,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Worker's Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Temporary Assistance for Needy Families (TANF),2,0,2,1,2,0,2,1,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Retirement Income from Social Security,2,0,2,1,1,0,1,1,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Pension or retirement income from a former job,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Child Support,4,2,6,0.67,0,3,3,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Other source,2,3,5,0.4,0,0,0,0,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
No Sources,24,35,59,0.41,3,6,9,0.33,0,0,0,0,adults,2019-04-01,2019-04-30,Q19b
Unduplicated Total Adults,68,96,164,NA,9,22,31,NA,0,0,0,NA,adults,2019-04-01,2019-04-30,Q19b
Earned Income,5,28,33,0.15,5,16,21,0.24,1,0,1,1,adults,2019-05-01,2019-05-31,Q19b
Supplemental Security Income (SSI),10,5,15,0.67,1,2,3,0.33,1,1,2,0.5,adults,2019-05-01,2019-05-31,Q19b
Social Security Disability Insurance (SSDI),17,3,20,0.85,1,1,2,0.5,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
